Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
zamc,verb,to halt regular event,suspendre un événement,หยุดกิจกรรม,,ຢຸດກິດຈະກໍາ,,tạm ngưng sự kiện,中止活动,zhōngzhǐ huódòng,zung1 zi2 wut6 dung6,,,,,,,,,,
zam-don,noun,section of tree trunk to hold the anvil in metalworking,section de tronc pour poser l’enclume (forge),ท่อนไม้รองทั่งตีเหล็ก,,ທ່ອນໄມ້ຮອງທັ່ງຕີເຫຼັກ,,khúc gỗ kê đe rèn,垫铁砧的木段,diàn tiězhēn de mùduàn,din6 tit3 zam1 dik1 muk6 dyun6,,,,,,,,,,
zamh,noun,unit of measurement with arm span,unité de mesure (brasse),หน่วยวัดหนึ่งวา,,ໜ່ວຍວັດແທກໜຶ່ງວາ,,đơn vị đo bằng sải tay,噚,xún,cam1,,,,,,,,,,
zan,adverb,insistently,avec insistance,อย่างยืนกราน,,ຢ່າງຍືນຍັນ,,khăng khăng,坚持地,jiānchí de,gin1 ci4 dik1,,,,,,,,,,
zan,adverb,persistently,déterminé,แน่วแน่,,ແນ່ວແນ່,,kiên định với kế hoạch,图谋不轨的,túmóu bùguǐ de,tou4 mau4 bat1 gwai2 dik1,,,,,,,,,,
zan naaic,verb,to persist in interrogation until one gets the desired information,persister dans l'interrogatoire,คาดคั้นคำถาม,,ຄາດຄັ້ນຄຳຖາມ,,tra hỏi đến cùng,窮追不捨,qióng zhuī bù shě,kung4 zeoi1 bat1 se2,,,,,,,,,,
zanc,noun,time,temps,ที,,ທີ,,lượt,次,cì,ci3,,,,,,,,,,
zanc,noun,occasion,occasion,คราวหนึ่ง,,ຄາວໜຶ່ງ,,lần,一次,yí cì,jat1 ci3,,,,,,,,,,
zanc,noun,period,période,ยุคสมัย,,ຍຸກສະໄໝ,,thời kỳ,时期,shíqī,si4 kei4,,,,,,,,,,
zanc-zanc,adverb,constantly,constamment,ตลอดเวลา,,ຕະຫຼອດເວລາ,,liên tục,不断地,bùduàn de,bat1 dyun6 dei6,,,,,,,,,,
zangg zunh,verb,to embark or leave on ship,embarquer,ลงเรือ,,ລົງເຮືອ,,lên tàu,登船,dēngchuán,dang1 syun4,,,,,,,,Literary,,
zangx,verb,to bury dead person,enterrer le mort,ฝังคนตาย,,ຝັງຄົນຕາຍ,,chôn người chết,安葬,ānzàng,on1 zong3,,,,,,,,,,
zangx,verb,to entomb,ensevelir,ฝังศพ,,ຝັງສົບ,,chôn cất,安葬,ānzàng,on1 zong3,,,,,,,,,,
zangx,verb,to inter,enterrer,ฝังศพ,,ຝັງສົບ,,an táng,安葬,ān zàng,on1 zong3,,,,,,,,,,
zangx,noun,steamer,cuit-vapeur,ซึ้งนึ่ง,,ຊຶ້ງນຶ້ງ,,xửng hấp,蒸锅,zhēngguō,zing1 gwo1,,,,,,,,,,
zangx guotv-ziqc,verb,to bury the remains of human bones after cremation,enterrer les ossements après crémation,ฝังกระดูกหลังเผา,,ຝັງກະດູກຫຼັງເຜົາ,,chôn tro cốt,安放骨灰,ānfàng gǔhuī,on1 fong3 gwat1 fui1,,,,,,,,,,
zangx jienv zouv,verb,to bury in grave,enterrer dans la tombe,ฝังในหลุมศพ,,ຝັງໃນຮູ,,chôn mộ,下葬,xiàzàng,haa6 zong3,,,,,,,,,,
zangx njice ndau,verb,to bury,enterrer,ฝัง,,ຝັງ,,chôn,埋葬,máizàng,maai4 zong3,,,,,,,,,,
zangx sei,verb,to bury corpse,enterrer un cadavre,ฝังศพ,,ຝັງສົບ,,chôn xác,埋尸,mái shī,maai4 si1,,,,,,,,,,
zangx zouv,verb,to bury in grave,enterrer dans la tombe,ฝังในหลุมศพ,,ຝັງໃນຮູ,,chôn mộ,下葬,xiàzàng,haa6 zong3,,,,,,,,,,
zangx zouv,verb,to inter,enterrer,บรรจุศพ,,ບັນຈຸສົບ,,mai táng,入殮,rù liàn,jap6 lim6,,,,,,,,,,
zangx zouv,verb,to place into tomb,placer dans une tombe,ฝังในสุสาน,,ฝັງໃນສຸສານ,,đặt vào lăng mộ,入土為安,rù tǔ wéi ān,jap6 tou2 wai4 on1,,,,,,,,,,
zangx-beix,noun,rice steamer divider,séparateur de cuiseur,แผ่นรองนึ่ง,,ເເຜ່ນຮອງນຶ້ງ,,tấm ngăn xửng,蒸锅隔板,zhēngguō gébǎn,zing1 gwo1 gaak3 baan2,,,,,,,,,,
zangx-piaeng,noun,woven piece put in the bottom of steamer,fond de panier,แผ่นสานรองก้นตะกร้า,,ແຜ່ນສານຮອງກົ້ນກະຕ່າ,,miếng lót đáy giỏ,籃底編織片,lán dǐ biān zhī piàn,laam4 dai2 bin1 zik1 pin2,,,,,,,,,,
zangx-piaeng,noun,zangx-piaeng cross-stitch design,zam (phon.),ซัม,,ຊຳ,,zam,赞,zàn,zaam3,,,,,,,,,,
Zanh,noun,Zanh/Chin/Chen/Saechin clan name in Mien,Clan Zanh/Chin/Chen/Saechin,ตระกูล Zanh/Chin/Chen/Saechin,,ຕະກູນ Zanh/Chin/Chen/Saechin,,Gia tộc Zanh/Chin/Chen/Saechin,赞/陈/蔡陈氏,zàn/chén/càichén shì,zaam3/can4/coi3 can4 si6,,,,,,,,,,
zanv,verb,to reduce (use of),réduire (l'usage de),ลดการใช้,,ຫຼຸດການໃຊ້,,giảm sử dụng,减少使用,jiǎn shǎo shǐ yòng,gaam2 siu2 si2 jung6,,,,,,,,,,
zanv,verb,cut back on,réduire,ลดลง,,ຫຼຸດລົງ,,cắt giảm,减少,jiǎnshǎo,gin2 siu2,,,,,,,,,,
zanv,verb,to control,contrôler,ปกครอง,,ປົກຄອງ,,cai quản,管轄,guǎnxiá,gun2 hat6,,,,,,,,,,
zanv,verb,to suppress (desires),réprimer (désirs),ระงับ (ความปรารถนา),,ລະງັບ (ຄວາມປາຖະໜາ),,kìm nén (ham muốn),克制(欲望),kè zhì (yù wàng),hak1 zai3 (juk6 mong6),,,,,,,,,,
zanv,verb,to restrain (impulses),refréner (pulsions),ระงับ (ความใคร่),,ລະງັບ (ຄວາມໄຄ່),,kiềm chế (xung năng),抑制(冲动),yì zhì (chōng dòng),jik1 zai3 (cung1 dung6),,,,,,,,,,
zanv,adjective,temperate,tempéré,พอเหมาะ,,ພອດດີ,,ôn hòa,温和,wēnhé,wan1 wo4,,,,,,,,,,
zanv,verb,to economize,économiser,ประหยัด,,ປະຢັດ,,tiết kiệm,節約,jiéyuē,zit3 joek3,,,,,,,,,,
zanv,verb,to conserve,conserver,สงวน,,ສະຫງວນ,,giữ gìn,節省,jiéshěng,zit3 saang2,,,,,,,,,,
zanv ga'qiex,verb,to suppress or repress one's anger,réprimer sa colère,สะกดอารมณ์โกรธ,,ສະກົດອາລົມໂກດ,,kìm nén cơn giận,抑制愤怒,yì zhì fèn nù,jik1 zai3 fan5 nou6,,,,,,,,,,
zanv maiv cuotv,adjective,unable to conserve or cut back on,incapable d’économiser,ลด/ประหยัดไม่ได้,,ຫຼຸດ/ປະຢັດບໍ່ໄດ້,,không thể tiết kiệm,省不下来,shěng bù xiàlái,saang2 bat1 haa6 loi4,,,,,,,,,,
zanv njiec,verb,to become more economical,devenir plus économe,ประหยัดขึ้น,,ປະຢັດຂຶ້ນ,,trở nên tiết kiệm hơn,變得更節省,biànde gèng jiéshěng,bin3 dak1 gang3 zit3 saang2,,,,,,,,,,
zanv njiec,verb,"to control, suppress, or pacify one's emotions",réprimer ses sentiments,ข่มใจ,,ຂົ່ມໃຈ,,trấn áp cảm xúc,克制情感,kèzhì qínggǎn,hak1 zai3 cing4 gam2,,,,,,,,,,
zanv njiec,verb,to decrease in amount,diminuer en quantité,ปริมาณลดลง,,ປະລິມານຫຼຸດ,,giảm số lượng,数量减少,shùliàng jiǎnshǎo,sou3 loeng6 gim2 siu2,,,,,,,,,,
zanv njiec,verb,to cut back on,réduire,ลดปริมาณลง,,ລົດປະລິມານລົງ,,cắt giảm,縮減,suōjiǎn,suk1 gaam2,,,,,,,,,,
zanv nyaanh,verb,to save money by reducing spending,économiser de l'argent,ประหยัดเงิน,,ປະຢັດເງິນ,,tiết kiệm tiền,省钱,shěng qián,saang2 cin4,,,,,,,,,,
zanv nzuih,verb,to control what one says,contrôler ses paroles,ระวังคำพูด,,ລະວັງຄຳພູດ,,giữ mồm giữ miệng,謹言,jǐnyán,gan2 jin4,,,,,,,,,,
zanv wuom,verb,to conserve water,économiser l'eau,ประหยัดน้ำ,,ປະຢັດນ້ຳ,,tiết kiệm nước,節約用水,jiéyuē yòngshuǐ,zit3 joek3 jung6 seoi2,,,,,,,,,,
zanx,adjective,stuck somewhere,coincé quelque part,ติดอยู่ที่ไหนสักแห่ง,,ຕິດຢູ່ບ່ອນໃດບ່ອນໜຶ່ງ,,mắc kẹt ở đâu đó,困在某处,kùn zài mǒu chù,kwan3 zoi6 mau5 cyu3,,,,,,,,Literary,,
zanx,verb,located at remain with,situé et demeurant avec,ตั้งอยู่และอยู่กับ,,ຕັ້ງຢູ່ແລະຢູ່ກັບ,,nằm và ở cùng,留在某处,liú zài mǒu chù,lau4 zoi6 mau5 cyu3,,,,,,,,Literary,,
Zanx,noun,Chan,Chan,หจ่าน,,ຈ່ານ,,Chạn,灿,càn,caan3,The first part of a male generation name that is specific to each clan and subclan.,Première partie d’un préfixe générationnel masculin indiquant la position dans le cycle générationnel du clan.,ส่วนแรกของคำนำหน้าชื่อรุ่นฝ่ายชายที่บอกตำแหน่งภายในรอบชื่อรุ่นของตระกูล,ສ່ວນທຳອິດຂອງຄຳນຳໜ້າຊື່ລຸ້ນຊາຍ ທີ່ຊີ້ຕຳແໜ່ງໃນວົງຈອນຊື່ລຸ້ນຂອງຕະກູນ,Phần đầu của tiền tố thế hệ nam cho biết vị trí trong chu kỳ tên thế hệ của họ.,表示在宗族辈分循环中位置的男性辈分名前缀首字,,,,
zanx,verb,detained at,détenu à,ถูกควบคุมที่,,ຖືກຄຸມຂັງທີ່,,bị giam tại,被拘留在,bèi jūliú zài,bei6 geoi1 lau4 zoi6,,,,,,,,Literary,,
zanx ding,verb,to shift person to different household registry so that they are protected by those spirits,changer de vitesse,เปลี่ยนเกียร์,,ປ່ຽນເກຍ,,đổi số,换挡,huàn dǎng,wun6 dong2,,,,,,,,Ritual,,
zanx yiem,verb,"to stay, remain, reside, be regularly located at or on place mentioned",séjourner/résider,พักอาศier/อยู่เป็นประจำ,,ພັກອາໄສ/ຢູ່ເປັນປະຈຳ,,trú ngụ/ở thường xuyên,居住/常驻,jū zhù/cháng zhù,geoi1 zyu6/soeng4 zyu3,,,,,,,,,,
zanx zaeqc,verb,to live in place regularly or all the time,vivre en permanence,อยู่เป็นประจำ,,ຢູ່ເປັນປະຈຳ,,định cư,常住,cháng zhù,soeng4 zyu6,,,,,,,,,,
zanx zinh,verb,to venerate spirit by presenting money to it to gain its help,vénérer un esprit par une offrande d'argent,บูชาผีด้วยเงิน,,ບູຊາຜີດ້ວຍເງິນ,,cúng thần bằng tiền,贡财礼,gòng cái lǐ,gung3 coi4 lai5,,,,,,,,Ritual,,
zanx zinh orv-mienv,verb,thank-offering to the guardian spirit of wild animals,offrande de remerciement aux esprits,ของแก้บน (offering),,ຂອງແກ້ບົນ (offering),,lễ tạ ơn thần linh,还愿祭品,huányuàn jìpǐn,waan4 jyun6 zai3 ban2,,,,,,,,,,
za'nyieh haaix hnoi,noun,three days before yesterday,trois jours avant hier,สามวันก่อนเมื่อวาน (three days),,ສາມວັນກ່ອນມື້ວານ (three days),,ba ngày trước ngày hôm qua,大前天之前的一天 (第四天前),dàqiántiān zhīqián de yī tiān,daai6 cin4 tin1 zi1 cin4 dik1 jat1 tin1,,,,,,,,,,
za'nyieh hnoi,noun,three days ago,il y a trois jours,สามวันที่แล้ว (three days ago),,ສາມວັນກ່ອນ (three days ago),,ba ngày trước,三天前,sān tiān qián,saam1 tin1 cin4,,,,,,,,,,
zapv,noun,trickle,ruisseler,ไหลเอื่อย,,ໄຫຼເອື່ອຍ,,rỉ chảy,涓涓,jūnjuān,gyun1 gyun1,,,,,,,,,,
zapv,verb,to add small amount of liquid to dampen but not make wet,ajouter un peu de liquide pour humidifier,พรมน้ำเล็กน้อย,,ພົມນໍ້ານ້ອຍ,,rưới ít nước,稍微润湿,shāowēi rùnshī,saau1 mei4 jeon6 sap1,,,,,,,,,,
zaqc,adjective,direct,diriger,สั่งการ,,ສັ່ງການ,,chỉ dẫn,引导,yǐn dǎo,jan5 dou6,,,,,,,,,,
zaqc,adjective,creditworthy,digne de crédit,น่าเชื่อถือด้านเครดิต,,ນ່າເຊື່ອຖືດ້ານເຄຣດິດ,,đáng tín nhiệm,有信用,yǒu xìnyòng,jau5 seon3 jung6,,,,,,,,,,
zaqc,adjective,outspoken,franc,พูดตรงไปตรงมา,,ເວົ້າຕົງໄປຕົງມາ,,thẳng thắn,坦率,tǎnshuài,taan2 leot6,,,,,,,,,,
zaqc,adjective,frank,franc,จริงใจ,,ຈິງໃຈ,,thẳng thắn,坦率,tǎn shuài,taan2 seot1,,,,,,,,,,
zaqc,verb,to steal,voler,ขโมย,,ຂະໂມຍ,,ăn cắp,偷/盗,tōu/dào,tau1/dou6,,,,,,,,,,
zaqc,adjective,straight,droit,ตรง,,ກົງ,,thẳng,直的,zhí de,zik6 dik1,,,,,,,,,,
zaqc waac,noun,frank statement,déclaration franche,คำพูดที่ตรงไปตรงมา,,ຄຳເວົ້າທີ່ກົງໄປກົງມາ,,lời nói thành thật,坦诚陈述,tǎn chéng chén shù,taan2 sing4 can4 seot6,,,,,,,,,,
zaqv,verb,to clear off piece of ground,défricher le sol,ถางที่ดิน,,ຖາງທີ່ດິນ,,phát quang mặt đất,清理地面,qīnglǐ dìmiàn,cing1 lei5 dei6 min6,,,,,,,,,,
zaqv,adjective,skinny,maigre,ผอม,,ຈ່ອຍ,,gầy,极瘦的,jíshòu de,gik6 sau3 dik1,,,,,,,,,,
zaqv,verb,to have insight into or guess at someone's true thoughts or motives,avoir un aperçu de,มีความเข้าใจลึกซึ้ง,,ມີຄວາມເຂົ້າໃຈເລິກເຊິ່ງ,,có cái nhìn sâu sắc,有見地,yǒu jiàn dì,jau5 gin3 dei6,,,,,,,,,,
zaqv,noun,comb,peigne,หวี,,ຫວີ,,cái lược,梳子,shūzi,so1 zi2,,,,,,,,,,
zaqv liangx,verb,to clear site for swidden field,préparer le brûlis,ถางไร่,,ຖາງໄຮ່,,phát rẫy,開墾荒地,kāikěn huāngdì,hoi1 han2 fong1 dei6,,,,,,,,,,
zaqv-nyaah,noun,teeth of comb,dents de peigne,ซี่หวี,,ຊີ່ຫວີ,,răng lược,梳齿,shūchǐ,so1 ci2,,,,,,,,,,
zaqv-zaqv wuov,adjective,very skinny,très maigre,ผอมแห้งมาก,,ຜອມແຫ້ງຫຼາຍ,,rất gầy,極消瘦,jí xiāo shòu,gik6 siu1 sau3,,,,,,,,,,
zatc,adjective,thick and tight,épais et serré,หนาและแน่น (tight),,ໜາແລະແໜ້ນ (tight),,dày và chặt,厚实且紧密的,hòushí qiě jǐnmì de,hau5 sat6 ce2 gan2 mat6 dik1,,,,,,,,,,
zatv,verb,to oppress,opprimer,ข่มเหง,,ຂົ່ມເຫັງ,,ngược đãi,霸凌,bà líng,baa3 ling4,,,,,,,,,,
zatv,verb,to push down on,appuyer sur,กด,,ກົດ,,ấn lên,按,àn,on3,,,,,,,,,,
zatv,verb,to repress,réprimer,ปราบ,,ປາບ,,đàn áp,镇压,zhènyā,zan3 aat3,,,,,,,,,,
zatv,verb,to press on,continuer avec insistance,เดินหน้าต่อไป,,ເດີນໜ້າຕໍ່,,tiếp tục thúc đẩy,继续前进,jìxù qiánjìn,gei3 zuk6 cin4 zeon3,,,,,,,,,,
zatv dangx-donx mienh,verb,to oppress the needy,opprimer les nécessiteux,ข่มเหงผู้ยากไร้,,ຂົ່ມເຫັງຜູ້ຍາກໄຮ້,,áp bức người nghèo,欺壓貧民,qī yā pín mín,hei1 aat3 pan4 man4,,,,,,,,,,
zatv ga'qiex,verb,to repress or keep one's anger under control,réprimer sa colère,ข่มอารมณ์,,ຂ່ມອາລົມ,,kiềm chế cơn giận,压怒,yā nù,aat3 nou6,,,,,,,,,,
zatv guinh,verb,to push down on so as to turn or rotate,appuyer pour tourner,กดเพื่อหมุน,,ກົດເພື່ອໝຸນ,,ấn để xoay,按转,àn zhuǎn,on3 zyun2,,,,,,,,,,
zauux henh mbienx,verb,to squander,gaspiller,ล้างผลาญ,,ລ້າງຜານ,,lãng phí,挥霍,huī huò,fai1 fok3,,,,,,,,,,
zaux,noun,foot,pied,เท้า,,ຕີນ,,bàn chân,脚,jiǎo,geuk3,,,,,,,,,,
zaux,noun,leg,jambe,ขา,,ຂາ,,chân,腿,tuǐ,teoi2,,,,,,,,,,
zaux,noun,feet,pieds,เท้า,,ຕີນ,,bàn chân,脚,jiǎo,zoek3,,,,,,,,,,
zaux fouh,noun,edematous feet,pieds oedémateux,เท้าบวม,,ຕີນບວມ,,chân bị phù,水肿脚,shuǐ zhǒng jiǎo,seoi2 zung2 goek3,,,,,,,,,,
zaux hlam,verb,to have deep ache in one's leg that goes to the bone,avoir une douleur profonde à la jambe,ปวดขาลึกถึงกระดูก,,ປວດຂາເຖິງກະດູກ,,đau nhức tận xương,腿部深痛,tuǐbù shēn tòng,teoi2 bou6 sam1 tung3,,,,,,,,,,
zaux kaux-bang,verb,to have knees stiff and turned in,avoir les genoux raides,เข่าตึง,,ເຂົ່າຕຶງ,,cứng khớp gối,膝蓋僵硬,xī gài jiāng yìng,sat1 goi3 goeng1 ngaang6,,,,,,,,,,
zaux mbai,adjective,paralyzed in the legs,paralysé des jambes,ขาเป็นอัมพาต,,ຂາອຳມະພາດ,,liệt chân,下肢瘫痪,xiàzhī tānhuàn,haa6 zi1 taan1 wun6,,,,,,,,,,
zaux mbai,adjective,stiff in the legs after strenuous activity,raideur des jambes,ขาแข็งตึง,,ຂາແຂງຕຶງ,,cứng chân sau vận động,剧烈运动后腿部僵硬,jùliè yùndòng hòu tuǐbù jiāngyìng,kek6 lit6 wan6 dung6 hau6 teoi2 bou6 goeng1 ngaang6,,,,,,,,,,
zaux mbiex,verb,to have one's foot fall asleep or be numb,avoir des fourmis dans le pied,เหน็บกินเท้า,,ເໜັບກິນຕີນ,,tê chân,腳發麻,jiǎo fā má,goek3 faat3 maa4,,,,,,,,,,
zaux nyei baengc,noun,foot ailment,affection du pied,โรคเท้า,,ໂຣກຕີນ,,bệnh ở chân,脚病,jiǎo bìng,geuk3 beng6,,,,,,,,,,
zaux nzaeqc,verb,to have the skin on one's feet be chapped and cracked open,avoir les pieds gercés,เท้าแตก,,ຕີນແຕກ,,nứt nẻ chân,腳部皸裂,jiǎo bù jūn liè,goek3 bou6 gwan1 lit6,,,,,,,,,,
zaux sui,verb,to feel one's foot or leg prickly and unsteady or shaky,être nerveux,กระวนกระวาย,,ກະວົນກະວາຍ,,lo lắng,忐忑不安,tǎn tè bù ān,taan2 tik1 bat1 on1,,,,,,,,,,
zaux waaic,adjective,lame,boiteux,พิการ,,—,,què,瘸,qué,keoi4,,,,,,,,,,
zaux-benv,noun,entire foot,pied entier,เท้าทั้งหมด,,ຕີນທັງໝົດ,,cả bàn chân,整个脚,zhěng gè jiǎo,zing2 go3 goek3,,,,,,,,,,
zaux-benv mbungv,noun,metatarsus,métatarse,กระดูกฝ่าเท้า,,ກະດູກຝາເທົ້າ,,xương bàn chân,跖骨,zhígǔ,zek3 gwat1,,,,,,,,,,
zaux-hlaatv,noun,mat or pad to wipe one’s feet on,tapis d’entrée,พรมเช็ดเท้า,,ພື້ນເຊັດຕີນ,,thảm chùi chân,脚垫,jiǎodiàn,goek3 din6,,,,,,,,,,
zaux-jiemh,noun,anklet,chevillère,กำไลข้อเท้า,,ກຳລາຍຂໍ້ເທົ້າ,,vòng cổ chân,脚镯,jiǎozhuó,goek3 zuk6,,,,,,,,,,
zaux-kaeng,noun,bowed legs,jambes arquées,ขาโก่ง,,ຂາໂກ່ງ,,chân vòng kiềng,罗圈腿,luóquān tuǐ,lo4 hyun1 teoi2,,,,,,,,,,
zaux-kaqv,noun,foothold,point d’appui,ที่ยืนมั่น,,ຈຸດຢືນ,,một chỗ đứng,立足点,lì zú diǎn,lap6 zuk1 dim2,,,,,,,,,,
zaux-kaqv,noun,steps,marches,ขั้นบันได,,ຂັ້ນໄດ,,các bậc thang,台阶,táijiē,toi4 gaai1,,,,,,,,,,
